benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-crafted/mapavg2.yml,uautomizer_default,to,0,0,0,0,0,900.4,886.8
array-crafted/mapavg3.yml,cbmc_default,mo,0,0,0,0,0,48.9,15000.0
array-crafted/mapavg3.yml,esbmc_default,to,0,0,0,0,0,901.4,10964.0
array-crafted/mapavg3.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.4,551.3
array-crafted/mapavg3.yml,uautomizer_default,to,0,0,0,0,0,900.5,861.0
array-crafted/mapavg4.yml,cbmc_default,mo,0,0,0,0,0,179.4,15000.0
array-crafted/mapavg4.yml,esbmc_default,mo,0,0,0,0,0,399.6,15000.0
array-crafted/mapavg4.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.4,549.6
array-crafted/mapavg4.yml,uautomizer_default,to,0,0,0,0,0,900.5,799.7
array-crafted/mapavg5.yml,cbmc_default,ee,0,0,0,0,0,875.0,159.5
array-crafted/mapavg5.yml,esbmc_default,to,0,0,0,0,0,900.8,155.8
array-crafted/mapavg5.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.9,1219.8
array-crafted/mapavg5.yml,uautomizer_default,to,0,0,0,0,0,900.2,1093.2
array-crafted/mapsum1.yml,cbmc_default,ee,0,0,0,0,0,875.2,892.2
array-crafted/mapsum1.yml,esbmc_default,ok,1,0,1,0,1,374.8,184.0
array-crafted/mapsum1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.2,1640.9
array-crafted/mapsum1.yml,uautomizer_default,to,0,0,0,0,0,900.6,832.3
array-crafted/mapsum2.yml,cbmc_default,ee,0,0,0,0,0,875.4,2106.2
array-crafted/mapsum2.yml,esbmc_default,to,0,0,0,0,0,900.9,931.2
array-crafted/mapsum2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,518.2
array-crafted/mapsum2.yml,uautomizer_default,to,0,0,0,0,0,900.5,932.4
array-crafted/mapsum3.yml,cbmc_default,mo,0,0,0,0,0,47.9,15000.0
array-crafted/mapsum3.yml,esbmc_default,to,0,0,0,0,0,901.4,10963.6
array-crafted/mapsum3.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.1,510.0
array-crafted/mapsum3.yml,uautomizer_default,to,0,0,0,0,0,900.5,964.7
array-crafted/mapsum4.yml,cbmc_default,mo,0,0,0,0,0,179.3,15000.0
array-crafted/mapsum4.yml,esbmc_default,mo,0,0,0,0,0,377.1,15000.0
array-crafted/mapsum4.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.2,487.8
array-crafted/mapsum4.yml,uautomizer_default,to,0,0,0,0,0,900.6,931.4
array-crafted/mapsum5.yml,cbmc_default,ee,0,0,0,0,0,875.2,148.2
array-crafted/mapsum5.yml,esbmc_default,to,0,0,0,0,0,900.8,155.1
